root_id,super_class,cell_class,cell_type,top_nt,top_nt_conf,side,nerve
720575940615040943,optic,LO>LOP,T5b,acetylcholine,0.5694773997664984,right,
720575940614427542,optic,LO>LOP,T5b,acetylcholine,0.6220101769643137,right,
720575940614449631,optic,ME>LO.LOP,TmY5a,glutamate,0.5800647483331866,right,
720575940630766610,optic,ME>LOP,T4b,acetylcholine,0.5520174920332174,right,
720575940630448896,optic,ME>LO.LOP,TmY5a,glutamate,0.6774668200046345,right,
720575940630466042,optic,ME>LO.LOP,TmY5a,glutamate,0.6754996415554322,right,
720575940626791293,optic,ME>LOP,T4b,acetylcholine,0.6613814293578355,right,
720575940626798353,optic,ME>LO.LOP,TmY5a,glutamate,0.7375348733241195,right,
720575940626835545,optic,LO>LOP,T5b,acetylcholine,0.553118926829746,right,
720575940627103588,optic,ME>LOP,T4b,acetylcholine,0.6157680961914768,right,
720575940621645829,optic,LO>LOP,T5b,acetylcholine,0.6203563248565055,right,
720575940621676817,optic,ME>LOP,T4b,acetylcholine,0.6989479581890283,right,
720575940632682067,optic,LO>LOP,T5b,acetylcholine,0.642167921647936,right,
720575940632665252,optic,ME>LOP,T4b,acetylcholine,0.6522688394405501,right,
720575940609251523,optic,LO>LOP,T5b,acetylcholine,0.4762492527748155,right,
720575940621949985,optic,LO>LOP,T5b,acetylcholine,0.5035939603126773,right,
720575940622362890,optic,LO>LOP,T5b,acetylcholine,0.7284663754488127,right,
720575940627154313,optic,ME>LOP,T4b,acetylcholine,0.5309145868771342,right,
720575940627180520,optic,ME>LO.LOP,TmY5a,glutamate,0.7246264164369343,right,
720575940626905496,optic,ME>LO.LOP,TmY5a,glutamate,0.7993009963217999,right,
720575940638375494,optic,LO>LOP,T5b,acetylcholine,0.5612289077227953,right,
720575940638379846,optic,LO>LOP,T5b,acetylcholine,0.5409498623425801,right,
720575940627007869,optic,ME>LO.LOP,TmY5a,glutamate,0.5818513749624656,right,
720575940627018259,optic,ME>LO.LOP,TmY5a,glutamate,0.6769224179228908,right,
720575940627021612,optic,ME>LOP,T4b,acetylcholine,0.7028380645498312,right,
720575940626760211,optic,ME>LOP,T4b,acetylcholine,0.6085468485899217,right,
720575940630996754,optic,ME>LOP,T4b,acetylcholine,0.6852854408225889,right,
720575940622378218,optic,ME>LO.LOP,TmY5a,glutamate,0.6929875311341019,right,
720575940640389208,optic,ME>LO.LOP,TmY5a,glutamate,0.747543320817147,right,
720575940622518298,optic,ME>LO.LOP,TmY5a,glutamate,0.6724230467854819,right,
720575940622557260,optic,ME>LO.LOP,TmY5a,glutamate,0.690312121589888,right,
720575940622620874,optic,LO>LOP,T5b,acetylcholine,0.6395024642475119,right,
720575940630637007,optic,ME>LO.LOP,TmY5a,glutamate,0.6461848175477383,right,
720575940631112668,optic,ME>LOP,T4b,acetylcholine,0.6434941229959076,right,
720575940631192620,optic,LO>LOP,T5b,acetylcholine,0.7316310492014334,right,
720575940638507497,optic,ME>LO.LOP,TmY5a,glutamate,0.5851044584125733,right,
720575940638547508,optic,ME>LOP,T4b,acetylcholine,0.5548826704398137,right,
720575940626872201,optic,LO>LOP,T5b,acetylcholine,0.7102107488298867,right,
720575940626597662,optic,ME>LO.LOP,TmY5a,glutamate,0.6896808796793603,right,
720575940626677480,optic,ME>LO.LOP,TmY5a,glutamate,0.7410766874955812,right,
720575940626700294,visual_projection,,LPTe01,acetylcholine,0.9341033839912012,right,
720575940622268748,optic,ME>LOP,T4b,acetylcholine,0.5256521868833204,right,
720575940632577934,optic,LO>LOP,T5b,acetylcholine,0.4417509534948558,right,
720575940622874385,optic,LO>LOP,T5b,acetylcholine,0.5891764773765851,right,
720575940622890710,optic,ME>LO.LOP,TmY5a,glutamate,0.6710735609633359,right,
720575940622890966,optic,ME>LO.LOP,TmY5a,glutamate,0.7095451211737691,right,
720575940609255177,optic,ME>LO.LOP,TmY5a,glutamate,0.6337047716874836,right,
720575940608276233,optic,LO>LOP,T5b,acetylcholine,0.6150564573826097,right,
720575940608278537,optic,ME>LOP,T4b,acetylcholine,0.7596012509639778,right,
720575940622276340,optic,ME>LO.LOP,TmY5a,glutamate,0.6286427492939275,right,
720575940622282762,optic,LO>LOP,T5b,acetylcholine,0.6376117915506156,right,
720575940622283786,optic,LO>LOP,T5b,acetylcholine,0.6215413667047694,right,
720575940622290252,optic,ME>LOP,T4b,acetylcholine,0.6925389427070567,right,
720575940614572950,optic,ME>LO.LOP,TmY5a,glutamate,0.6515132162925383,right,
720575940614590429,optic,LO>LOP,T5b,acetylcholine,0.6621677218109483,right,
720575940614722541,optic,LO>LOP,T5b,acetylcholine,0.6457145919298829,right,
720575940640254928,optic,LO>LOP,T5b,acetylcholine,0.6182568705009778,right,
